City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1072879,Ankazoabo,MG,-22.28,44.52,68.29,69,0,3.38
2120048,Ust-Nera,RU,64.57,143.2,29.62,81,100,4.36
2209055,Waddān,LY,29.16,16.14,57.11,45,74,8.34
2444219,Gouré,NE,13.98,10.27,86.0,15,100,8.01
5545269,Price,US,39.6,-110.81,52.32,20,1,5.82
1529376,Korla,CN,41.76,86.15,62.17,19,66,5.91
2012530,Zhigansk,RU,66.77,123.37,30.4,95,33,15.93
2016307,Solnechnyy,RU,50.72,136.63,42.73,51,0,4.76
2012593,Zeya,RU,53.75,127.27,50.13,44,0,4.68
964712,Plettenberg Bay,ZA,-34.05,23.37,63.43,48,39,3.67
3347019,Mossamedes,AO,-15.2,12.15,75.2,62,77,7.63
2037311,Gannan,CN,47.91,123.5,57.04,33,0,14.76
1278008,Badarpur,IN,24.9,92.6,91.53,19,0,2.8
7117100,Vila,PT,42.03,-8.16,52.43,100,75,1.12
3662489,Santa Isabel Rio Negro,BR,-0.41,-65.02,74.01,97,65,0.85
705812,Kropyvnytskyi,UA,48.51,32.26,38.77,71,0,9.13
3452483,Prado,BR,-17.34,-39.22,76.42,88,47,7.74
1607617,Phon,TH,15.82,102.6,93.07,41,58,5.61
3671519,Puerto Carreño,CO,6.19,-67.49,77.9,85,98,11.45
3577430,Road Town,VG,18.42,-64.62,79.5,78,40,5.82
2553604,Casablanca,MA,33.59,-7.62,63.41,82,75,8.05
2122090,Pevek,RU,69.7,170.31,10.26,89,100,20.31
792578,Bitola,MK,41.03,21.34,46.9,48,0,2.57
3467263,Capinópolis,BR,-18.68,-49.57,62.73,73,8,2.39
2177671,Armidale,AU,-30.52,151.65,60.01,47,99,8.01
3567834,Baracoa,CU,20.35,-74.5,79.41,77,97,0.25
1831112,Kampot,KH,10.62,104.18,87.8,70,40,4.7
362973,Abnūb,EG,27.27,31.15,55.4,54,0,11.41
1259460,Pokaran,IN,26.92,71.92,86.54,25,1,8.88
3373652,Oistins,BB,13.07,-59.53,78.8,78,40,11.41
3406196,Barreirinhas,BR,-2.75,-42.83,79.75,83,100,5.44
3987500,San Buenaventura,MX,27.08,-101.53,78.01,61,99,4.0
2012646,Zarubino,RU,42.63,131.09,47.52,50,78,5.21
2281951,Sassandra,CI,4.95,-6.08,79.2,85,9,4.16
3486270,Anaco,VE,9.44,-64.47,81.73,55,100,10.16
1809498,Guilin,CN,25.28,110.29,59.0,100,75,15.66
162099,Abadan,TM,38.05,58.21,48.2,87,20,6.93
2027142,Barabash,RU,43.2,131.48,48.2,45,20,11.18
485660,Tsimmerbude,RU,54.67,20.13,30.2,92,0,4.47
1272502,Diu,IN,20.71,70.98,84.33,43,0,9.78
2094027,Kieta,PG,-6.22,155.63,84.51,74,72,5.86
3146487,Måløy,NO,61.94,5.11,41.14,65,100,9.17
3445026,Vila Velha,BR,-20.33,-40.29,72.64,94,90,3.36
2988507,Paris,FR,48.85,2.35,54.43,66,69,4.7
2396853,Omboué,GA,-1.57,9.26,79.79,88,98,8.05
921786,Mitsamiouli,KM,-11.38,43.28,84.0,74,20,9.73
333750,Jinka,ET,5.65,36.65,65.25,57,58,3.89
1067565,Beloha,MG,-25.17,45.05,70.25,84,19,13.69
2122783,Katangli,RU,51.71,143.23,29.59,95,88,4.76
368246,Raja,SS,8.46,25.68,79.21,53,100,1.52
546105,Nikolskoye,RU,59.7,30.79,30.69,96,75,11.18
5261790,Marathon,US,44.9,-89.77,34.93,44,20,8.05
5354943,Half Moon Bay,US,37.46,-122.43,56.16,87,75,10.29
2935517,Dortmund,DE,51.52,7.45,42.01,65,60,3.36
1630639,Pringsewu,ID,-5.36,104.97,88.99,57,6,0.83
2304548,Anloga,GH,5.79,0.9,80.6,88,20,4.7
2208248,Kaitangata,NZ,-46.28,169.85,63.21,52,0,5.35
3520989,Puerto Madero,MX,14.72,-92.42,84.2,79,20,4.7
1485357,Zavodoukovsk,RU,56.5,66.55,40.95,84,3,7.76
556268,Ostrovnoy,RU,68.05,39.51,11.7,95,56,8.99
2460954,Araouane,ML,18.9,-3.53,81.7,12,0,5.55
3988265,Sahuaripa,MX,29.05,-109.23,64.35,22,0,3.69
3385883,Uauá,BR,-9.84,-39.48,73.94,76,88,10.42
3576994,Cockburn Town,TC,21.46,-71.14,78.75,74,68,4.07
